Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Frequency (Hz),AC Voltage (Vrms),Re[Impedance] (Ohm),-Im[Impedance] (Ohm),Re[Cp] (F),Im[Cp] (F),Re[Modulus],Im[Modulus],Re[Permittivity],Im[Permittivity],Loss Factor,Re[Sp.Impedance] (Ohm-cm),-Im[Sp.Impedance] (Ohm-cm)
,580746.232,360.0038,-0.019,5.000000e+05,0.5,5148.282,941.3527,1.09394469309779E-11,-5.98281151418683E-11,0.000474708202152684,0.0025961913025745,68.1507870037873,372.718397703042,5.46902558414078,9333.36151272169,1706.58582029435
,580747.027,360.0038,-0.019,3.788642e+05,0.5,5295.437,926.111,1.34620666645356E-11,-7.69751421933744E-11,0.00035387590685635,0.00202343733156789,83.8662542699075,479.541292471719,5.71792906033942,9600.13998627938,1678.95402076036
,580747.839,360.0038,-0.019,2.870762e+05,0.5,5454.098,909.6853,1.64949781720383E-11,-9.8897088320717E-11,0.000263386019624842,0.00157915398090286,102.760747515617,616.111074350032,5.99558770489091,9887.77777903625,1649.17573817998
,580748.634,360.0038,-0.019,2.175258e+05,0.5,5631.18,883.1621,1.98883102057895E-11,-1.26810983696694E-10,0.000193756176381796,0.00123541975512496,123.900595820968,790.009622440904,6.37615676669096,10208.8111496628,1601.09161728795
,580749.43,360.0038,-0.019,1.648255e+05,0.5,5811.415,838.939,2.34965829635727E-11,-1.62763198138662E-10,0.000139463032921065,0.000966074483917149,146.379486181585,1013.98545268244,6.9271007784833,10535.5606191451,1520.9192064695
,580750.226,360.0038,-0.019,1.248930e+05,0.5,5983.48,772.5281,2.7046371552014E-11,-2.0948289551415E-10,9.73098037453872E-05,0.000753695903766412,168.494030685136,1305.04076515003,7.74532343872022,10847.4986304441,1400.52235600847
,580751.037,360.0038,-0.019,9.463495e+04,0.5,6133.947,686.3856,3.03006860643851E-11,-2.70784821800715E-10,6.55124836810124E-05,0.000585458236212553,188.767824833531,1686.94074123082,8.93659045294657,11120.2814552262,1244.35393048135
,580751.832,360.0038,-0.019,7.170755e+04,0.5,6256.054,589.6031,3.31415898748382E-11,-3.5165279134869E-10,4.2641183382299E-05,0.00045244936104231,206.466144657742,2190.73364802635,10.6106192453873,11341.6502097415,1068.89616406432
,580752.628,360.0038,-0.019,5.433485e+04,0.5,6348.343,490.9939,3.54737106097097E-11,-4.58660041261564E-10,2.69066219470578E-05,0.000347891216349634,220.994837421841,2857.36957054473,12.9295761108234,11508.9616741577,890.126758643198
,580753.439,360.0038,-0.019,4.117107e+04,0.5,6412.93,403.2069,3.77510757776835E-11,-6.00423768509368E-10,1.67426664504061E-05,0.000266288964697288,235.18241285154,3740.53209617202,15.9048121448318,11626.051961757,730.977005945638
,580754.235,360.0038,-0.019,3.119651e+04,0.5,6457.525,324.2997,3.95762493712026E-11,-7.88050743558427E-10,1.02036794400389E-05,0.00020317784776254,246.552916095595,4909.41440744535,19.9122139181751,11706.8985930526,587.925513514448
,580755.03,360.0038,-0.019,2.363846e+04,0.5,6486.722,260.966,4.16899768241329E-11,-1.03627020318583E-09,6.2216815422772E-06,0.000154649718880174,259.721057989569,6455.77700054494,24.8565790179564,11759.8300672972,473.107343484473
,580755.826,360.0038,-0.019,1.791157e+04,0.5,6505.822,211.686,4.43930805652634E-11,-1.3643485170926E-09,3.82410294736838E-06,0.000117527531746332,276.560908164194,8499.64589379832,30.7333597876099,11794.4566096842,383.767238310179
,580756.637,360.0038,-0.019,1.357207e+04,0.5,6518.692,174.8634,4.82213163416658E-11,-1.79763123138339E-09,2.3935910193379E-06,8.92301226501932E-05,300.410128572135,11198.9192812341,37.2787673120847,11817.7887353658,317.011252985687
,580757.433,360.0038,-0.019,1.028394e+04,0.5,6527.614,149.2962,5.41966663585975E-11,-2.36961770008688E-09,1.54850770909063E-06,6.77047413193902E-05,337.635484556434,14762.2921138473,43.7225729790845,11833.9635003489,270.660272120991
,580758.228,360.0038,-0.019,7.792469e+03,0.5,6534.725,133.4271,6.37903048328E-11,-3.12419365892325E-09,1.04862994260324E-06,5.13576949636013E-05,397.40212690791,19463.1646326593,48.9759951314238,11846.8550889831,241.891054121369
,580759.04,360.0038,-0.019,5.904585e+03,0.5,6540.987,126.1451,7.9442885865749E-11,-4.11934259587053E-09,7.51211421830124E-07,3.89524773014755E-05,494.91489174571,25662.7635398846,51.852882117498,11858.2075187437,228.689458222846
,580759.835,360.0038,-0.019,4.474074e+03,0.5,6547.577,127.2487,1.05547324110105E-10,-5.43093353216864E-09,5.74194120241229E-07,2.95451365336283E-05,657.540847323665,33833.7391933823,51.4549618188634,11870.1545823212,230.69018346778
,580760.631,360.0038,-0.019,3.390107e+03,0.5,6555.461,136.191,1.48716803348662E-10,-7.1583820105354E-09,4.65658339540374E-07,2.24141469273423E-05,926.478939277861,44595.4325451563,48.1343187141588,11884.4475488227,246.901750482798
